Time,Hour Angle,Solar Altitude,Solar Azimuth,Shadow Length Factor
8:00,-4.26,1,124.5,58.68
8:15,-4.01,3.2,127.2,18.04
8:30,-3.76,5.3,129.9,10.8
8:45,-3.51,7.3,132.7,7.78
9:00,-3.26,9.3,135.6,6.13
9:15,-3.01,11.1,138.5,5.09
9:30,-2.76,12.9,141.5,4.38
9:45,-2.51,14.5,144.7,3.87
10:00,-2.26,16,147.9,3.49
10:15,-2.01,17.4,151.2,3.2
10:30,-1.76,18.6,154.5,2.97
10:45,-1.51,19.7,158,2.79
11:00,-1.26,20.6,161.5,2.66
11:15,-1.01,21.4,165.1,2.55
11:30,-0.76,22,168.7,2.47
11:45,-0.51,22.5,172.4,2.42
12:00,-0.26,22.7,176.1,2.39
12:15,-0.01,22.8,179.9,2.38
12:30,0.24,22.7,183.6,2.39
12:45,0.49,22.5,187.3,2.42
13:00,0.74,22.1,191,2.47
13:15,0.99,21.5,194.7,2.54
13:30,1.24,20.7,198.3,2.65
13:45,1.49,19.8,201.8,2.78
14:00,1.74,18.7,205.2,2.96
14:15,1.99,17.5,208.6,3.18
14:30,2.24,16.1,211.9,3.47
14:45,2.49,14.6,215.1,3.84
15:00,2.74,13,218.3,4.34
15:15,2.99,11.2,221.3,5.03
15:30,3.24,9.4,224.3,6.04
15:45,3.49,7.5,227.1,7.64
16:00,3.74,5.4,229.9,10.53
16:15,3.99,3.3,232.7,17.29
16:30,4.24,1.1,235.3,51.2
