Time,Hour Angle,Solar Altitude,Solar Azimuth,Shadow Length Factor
8:00,-4.48,1.5,119.9,37.47
8:15,-4.23,3.8,122.6,14.88
8:30,-3.98,6.1,125.3,9.37
8:45,-3.73,8.3,128.1,6.89
9:00,-3.48,10.4,131,5.47
9:15,-3.23,12.3,134,4.57
9:30,-2.98,14.2,137,3.94
9:45,-2.73,16,140.2,3.48
10:00,-2.48,17.7,143.4,3.13
10:15,-2.23,19.3,146.7,2.86
10:30,-1.98,20.7,150.2,2.65
10:45,-1.73,22,153.7,2.48
11:00,-1.48,23.1,157.3,2.35
11:15,-1.23,24.1,161,2.24
11:30,-0.98,24.8,164.8,2.16
11:45,-0.73,25.5,168.6,2.1
12:00,-0.48,25.9,172.5,2.06
12:15,-0.23,26.2,176.4,2.03
12:30,0.02,26.3,180.3,2.03
12:45,0.27,26.2,184.2,2.04
13:00,0.52,25.9,188.2,2.06
13:15,0.77,25.4,192,2.11
13:30,1.02,24.7,195.8,2.17
13:45,1.27,23.9,199.6,2.26
14:00,1.52,22.9,203.3,2.37
14:15,1.77,21.8,206.9,2.5
14:30,2.02,20.5,210.4,2.68
14:45,2.27,19,213.8,2.9
15:00,2.52,17.5,217.1,3.18
15:15,2.77,15.8,220.4,3.54
15:30,3.02,13.9,223.5,4.03
15:45,3.27,12,226.5,4.69
16:00,3.52,10,229.5,5.66
16:15,3.77,7.9,232.3,7.19
16:30,4.02,5.7,235.1,9.96
16:45,4.27,3.5,237.8,16.48
17:00,4.52,1.1,240.5,50
