Time,Hour Angle,Solar Altitude,Solar Azimuth,Shadow Length Factor
7:30,-4.55,1,119,59.08
7:45,-4.3,3.3,121.7,17.3
8:00,-4.05,5.6,124.4,10.24
8:15,-3.8,7.8,127.2,7.32
8:30,-3.55,9.9,130,5.73
8:45,-3.3,11.9,132.9,4.73
9:00,-3.05,13.9,136,4.05
9:15,-2.8,15.7,139.1,3.56
9:30,-2.55,17.4,142.3,3.19
9:45,-2.3,19,145.6,2.9
10:00,-2.05,20.5,149,2.68
10:15,-1.8,21.8,152.5,2.5
10:30,-1.55,23,156.1,2.36
10:45,-1.3,24,159.8,2.25
11:00,-1.05,24.8,163.6,2.16
11:15,-0.8,25.5,167.4,2.1
11:30,-0.55,26,171.3,2.05
11:45,-0.3,26.3,175.2,2.02
12:00,-0.05,26.5,179.1,2.01
12:15,0.2,26.4,183.1,2.01
12:30,0.45,26.2,187,2.04
12:45,0.7,25.7,190.9,2.07
13:00,0.95,25.1,194.8,2.13
13:15,1.2,24.4,198.5,2.21
13:30,1.45,23.4,202.3,2.31
13:45,1.7,22.3,205.9,2.44
14:00,1.95,21.1,209.4,2.6
14:15,2.2,19.7,212.9,2.8
14:30,2.45,18.1,216.3,3.06
14:45,2.7,16.5,219.5,3.39
15:00,2.95,14.7,222.7,3.82
15:15,3.2,12.8,225.7,4.41
15:30,3.45,10.8,228.7,5.24
15:45,3.7,8.7,231.6,6.52
16:00,3.95,6.6,234.4,8.71
16:15,4.2,4.3,237.2,13.27
16:30,4.45,2,239.8,28.64
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
