Sunrise/sunset (full year; text version) for TORONTO ON for 2021
Date,Nautical Twilight Start,Civil Twilight Start,Sun rise,Local noon,Sun set,Civil Twilight End,Nautical Twilight End,Hours of illumination (day),Hours of illumination (sky),Hours of illumination (total),Local Sidereal Time at 00:00 EST (hh:mm:ss)
Jan  1 2021,6:43,7:19,7:51,12:21,16:51,17:24,18:00,9.00,1.09,10.09,6:26:49
Jan  2 2021,6:43,7:19,7:51,12:22,16:52,17:25,18:01,9.01,1.09,10.10,6:30:45
Jan  3 2021,6:43,7:19,7:51,12:22,16:53,17:26,18:02,9.03,1.09,10.11,6:34:42
Jan  4 2021,6:43,7:19,7:51,12:23,16:54,17:27,18:03,9.05,1.08,10.13,6:38:39
Jan  5 2021,6:43,7:19,7:51,12:23,16:55,17:28,18:04,9.06,1.08,10.15,6:42:35
Jan  6 2021,6:43,7:19,7:51,12:24,16:56,17:29,18:05,9.08,1.08,10.16,6:46:32
Jan  7 2021,6:43,7:19,7:51,12:24,16:57,17:30,18:06,9.10,1.08,10.18,6:50:28
Jan  8 2021,6:43,7:18,7:51,12:24,16:58,17:31,18:06,9.13,1.08,10.20,6:54:25
Jan  9 2021,6:42,7:18,7:50,12:25,16:59,17:32,18:07,9.15,1.07,10.22,6:58:21
Jan 10 2021,6:42,7:18,7:50,12:25,17:00,17:33,18:08,9.17,1.07,10.25,7:02:18
Jan 11 2021,6:42,7:18,7:50,12:26,17:02,17:34,18:09,9.20,1.07,10.27,7:06:14
Jan 12 2021,6:42,7:17,7:49,12:26,17:03,17:35,18:11,9.22,1.07,10.29,7:10:11
Jan 13 2021,6:41,7:17,7:49,12:26,17:04,17:36,18:12,9.25,1.07,10.32,7:14:08
Jan 14 2021,6:41,7:17,7:49,12:27,17:05,17:37,18:13,9.28,1.06,10.34,7:18:04
Jan 15 2021,6:41,7:16,7:48,12:27,17:06,17:38,18:14,9.31,1.06,10.37,7:22:01
Jan 16 2021,6:40,7:16,7:47,12:27,17:08,17:39,18:15,9.34,1.06,10.39,7:25:57
Jan 17 2021,6:40,7:15,7:47,12:28,17:09,17:41,18:16,9.37,1.06,10.42,7:29:54
Jan 18 2021,6:39,7:15,7:46,12:28,17:10,17:42,18:17,9.40,1.05,10.45,7:33:50
Jan 19 2021,6:39,7:14,7:46,12:28,17:11,17:43,18:18,9.43,1.05,10.48,7:37:47
Jan 20 2021,6:38,7:13,7:45,12:29,17:13,17:44,18:19,9.46,1.05,10.51,7:41:43
Jan 21 2021,6:38,7:13,7:44,12:29,17:14,17:45,18:21,9.50,1.05,10.54,7:45:40
Jan 22 2021,6:37,7:12,7:43,12:29,17:15,17:47,18:22,9.53,1.04,10.58,7:49:37
Jan 23 2021,6:36,7:11,7:43,12:29,17:17,17:48,18:23,9.57,1.04,10.61,7:53:33
Jan 24 2021,6:36,7:11,7:42,12:30,17:18,17:49,18:24,9.60,1.04,10.64,7:57:30
Jan 25 2021,6:35,7:10,7:41,12:30,17:19,17:50,18:25,9.64,1.03,10.68,8:01:26
Jan 26 2021,6:34,7:09,7:40,12:30,17:21,17:52,18:26,9.68,1.03,10.71,8:05:23
Jan 27 2021,6:33,7:08,7:39,12:30,17:22,17:53,18:28,9.72,1.03,10.75,8:09:19
Jan 28 2021,6:33,7:07,7:38,12:30,17:23,17:54,18:29,9.76,1.03,10.78,8:13:16
Jan 29 2021,6:32,7:06,7:37,12:31,17:25,17:55,18:30,9.80,1.02,10.82,8:17:12
Jan 30 2021,6:31,7:05,7:36,12:31,17:26,17:57,18:31,9.84,1.02,10.86,8:21:09
Jan 31 2021,6:30,7:04,7:35,12:31,17:27,17:58,18:32,9.88,1.02,10.89,8:25:06
Feb  1 2021,6:29,7:03,7:34,12:31,17:29,17:59,18:34,9.92,1.02,10.93,8:29:02
Feb  2 2021,6:28,7:02,7:33,12:31,17:30,18:01,18:35,9.96,1.01,10.97,8:32:59
Feb  3 2021,6:27,7:01,7:32,12:31,17:32,18:02,18:36,10.00,1.01,11.01,8:36:55
